scientific_name,state,state_abbreviation,country
Loxops caeruleirostris,Hawaii,HI,United States
Oreomystis bairdi,Hawaii,HI,United States
Peromyscus polionotus ammobates,Alabama,AL,United States
Sarracenia rubra ssp. alabamensis,Alabama,AL,United States
Lampsilis virescens,Tennessee,TN,United States
Lampsilis virescens,Alabama,AL,United States
Clematis socialis,Alabama,AL,United States
Clematis socialis,Georgia,GA,United States
Clematis socialis,Georgia,GA,United States
Clematis socialis,Alabama,AL,United States
Medionidus acutissimus,Alabama,AL,United States
Medionidus acutissimus,Georgia,GA,United States
Medionidus acutissimus,Tennessee,TN,United States
Medionidus acutissimus,Tennessee,TN,United States
Medionidus acutissimus,Alabama,AL,United States
Medionidus acutissimus,Mississippi,MS,United States
Medionidus acutissimus,Georgia,GA,United States
Medionidus acutissimus,Mississippi,MS,United States
Margaritifera marrianae,Alabama,AL,United States
Alligator mississippiensis,Florida,FL,United States
Alligator mississippiensis,Oklahoma,OK,United States
Alligator mississippiensis,North Carolina,NC,United States
Nicrophorus americanus,Rhode Island,RI,Canada
Nicrophorus americanus,Rhode Island,RI,United States
Nicrophorus americanus,Texas,TX,United States
Nicrophorus americanus,Texas,TX,Canada
Nicrophorus americanus,Massachusetts,MA,United States
Nicrophorus americanus,South Dakota,SD,United States
Nicrophorus americanus,Ohio,OH,United States
Nicrophorus americanus,Ohio,OH,Canada
Nicrophorus americanus,Arkansas,AR,United States
Nicrophorus americanus,Arkansas,AR,Canada
Nicrophorus americanus,Oklahoma,OK,United States
Nicrophorus americanus,Oklahoma,OK,Canada
Nicrophorus americanus,Kansas,KS,Canada
Nicrophorus americanus,Kansas,KS,United States
Nicrophorus americanus,Nebraska,NE,Canada
Nicrophorus americanus,Nebraska,NE,United States
Nicrophorus americanus,South Dakota,SD,Canada
Nicrophorus americanus,Massachusetts,MA,Canada
Crocodylus acutus,Florida,FL,United States
Peromyscus polionotus phasma,Florida,FL,United States
Oncorhynchus apache,Arizona,AZ,United States
Astragalus applegatei,California,CA,United States
Astragalus applegatei,Oregon,OR,United States
Echinocereus triglochidiatus var. arizonicus,Arizona,AZ,United States
Lampsilis powellii,Arkansas,AR,United States
Anaxyrus californicus,California,CA,United States
Cyprinodon nevadensis mionectes,Nevada,NV,United States
Grindelia fraxinipratensis,Nevada,NV,United States
Ivesia kingii var. eremica,Nevada,NV,United States
Astragalus phoenix,Nevada,NV,United States
Ambrysus amargosus,Nevada,NV,United States
Rhinichthys osculus nevadensis,Nevada,NV,United States
Fratercula arctica,Maine,ME,United States
Salmo salar,Maine,ME,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Louisiana,LA,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Florida,FL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Alabama,AL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Florida,FL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Mississippi,MS,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Mississippi,MS,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Mississippi,MS,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Alabama,AL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Alabama,AL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Florida,FL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Louisiana,LA,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Louisiana,LA,United States
Polyborus plancus audubonii,Florida,FL,United States
Eurycea waterlooensis,Texas,TX,United States
Aimophila aestivalis,Florida,FL,United States
Aimophila aestivalis,Virginia,VA,United States
Oceanodroma castro,Hawaii,HI,United States
Eurycea sosorum,Texas,TX,United States
Euphydryas editha bayensis,California,CA,United States
Layia carnosa,California,CA,United States
Goetzea elegans,Puerto Rico,PR,United States
Cyprinella formosa,Arizona,AZ,United States
Cyprinella formosa,New Mexico,NM,United States
Speyeria zerene behrensii,California,CA,United States
Cambarus aculabrum,Arkansas,AR,United States
Cambarus aculabrum,Missouri,MO,United States
Cambarus aculabrum,Arkansas,AR,United States
Cambarus aculabrum,Missouri,MO,United States
Gambusia gaigei,Texas,TX,United States
Faxonius peruncus,Missouri,MO,United States
Pterodroma hasitata,North Carolina,NC,United States
Pterodroma hasitata,Georgia,GA,United States
Pterodroma hasitata,South Carolina,SC,United States
Mustela nigripes,New Mexico,NM,United States
Mustela nigripes,New Mexico,NM,United States
Mustela nigripes,Montana,MT,United States
Mustela nigripes,Montana,MT,United States
Mustela nigripes,Colorado,CO,United States
Mustela nigripes,Colorado,CO,United States
Mustela nigripes,Kansas,KS,United States
Mustela nigripes,Kansas,KS,United States
Mustela nigripes,Arizona,AZ,United States
Mustela nigripes,Arizona,AZ,United States
Mustela nigripes,South Dakota,SD,United States
Mustela nigripes,South Dakota,SD,United States
Pituophis melanoleucus lodingi,Mississippi,MS,United States
Pituophis melanoleucus lodingi,Alabama,AL,United States
Laterallus jamaicensis,Indiana,IN,United States
Laterallus jamaicensis,Alabama,AL,United States
Laterallus jamaicensis,Connecticut,CT,United States
Laterallus jamaicensis,Pennsylvania,PA,United States
Laterallus jamaicensis,Virgin Islands,VI,United States
Laterallus jamaicensis,Maryland,MD,United States
