common_name,scientific_name,species_group,esa_status,foreign_or_domestic,country
Abbott's booby,Papasula (=Sula) abbotti,Birds,Endangered,Foreign,Christmas Island
Acklins ground iguana,Cyclura rileyi nuchalis,Reptiles,Threatened,Foreign,Bahamas
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Sudan
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Sierra Leone
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Kenya
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Congo (Zaire)
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Cameroon
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Uganda
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Central African Republic
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Nigeria
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Chad
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Burkina Faso
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Togo
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Niger
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Gabon
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Senegal
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Tanzania
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Mauritania
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Ivory Coast
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Benin
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Congo
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Liberia
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Ghana
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Mali
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Guinea
African elephant,Loxodonta africana,Mammals,Threatened,Foreign,Burundi
African slender-snouted crocodile,Crocodylus cataphractus,Reptiles,Endangered,Foreign,
African viviparous toads,Nectophrynoides spp.,Amphibians,Endangered,Foreign,Guinea
African viviparous toads,Nectophrynoides spp.,Amphibians,Endangered,Foreign,Liberia
African viviparous toads,Nectophrynoides spp.,Amphibians,Endangered,Foreign,Ivory Coast
African viviparous toads,Nectophrynoides spp.,Amphibians,Endangered,Foreign,Ethiopia
African viviparous toads,Nectophrynoides spp.,Amphibians,Endangered,Foreign,Cameroon
African viviparous toads,Nectophrynoides spp.,Amphibians,Endangered,Foreign,Tanzania
African wild dog,Lycaon pictus,Mammals,Endangered,Foreign,
Akekee,Loxops caeruleirostris,Birds,Endangered,Domestic,United States
Akikiki,Oreomystis bairdi,Birds,Endangered,Domestic,United States
