"common_name","esa_status","species_group","country"
"Abbott's booby","Endangered","Birds","Christmas Island"
"Acklins ground iguana","Threatened","Reptiles","Bahamas"
"African elephant","Threatened","Mammals","Sudan"
"African elephant","Threatened","Mammals","Sierra Leone"
"African elephant","Threatened","Mammals","Kenya"
"African elephant","Threatened","Mammals","Congo (Zaire)"
"African elephant","Threatened","Mammals","Cameroon"
"African elephant","Threatened","Mammals","Uganda"
"African elephant","Threatened","Mammals","Central African Republic"
"African elephant","Threatened","Mammals","Nigeria"
"African elephant","Threatened","Mammals","Chad"
"African elephant","Threatened","Mammals","Burkina Faso"
"African elephant","Threatened","Mammals","Togo"
"African elephant","Threatened","Mammals","Niger"
"African elephant","Threatened","Mammals","Gabon"
"African elephant","Threatened","Mammals","Senegal"
"African elephant","Threatened","Mammals","Tanzania"
"African elephant","Threatened","Mammals","Mauritania"
"African elephant","Threatened","Mammals","Ivory Coast"
"African elephant","Threatened","Mammals","Benin"
"African elephant","Threatened","Mammals","Congo"
"African elephant","Threatened","Mammals","Liberia"
"African elephant","Threatened","Mammals","Ghana"
"African elephant","Threatened","Mammals","Mali"
"African elephant","Threatened","Mammals","Guinea"
"African elephant","Threatened","Mammals","Burundi"
"African viviparous toads","Endangered","Amphibians","Guinea"
"African viviparous toads","Endangered","Amphibians","Liberia"
"African viviparous toads","Endangered","Amphibians","Ivory Coast"
"African viviparous toads","Endangered","Amphibians","Ethiopia"
"African viviparous toads","Endangered","Amphibians","Cameroon"
"African viviparous toads","Endangered","Amphibians","Tanzania"
"Akekee","Endangered","Birds","United States"
"Akikiki","Endangered","Birds","United States"
"Alabama beach mouse","Endangered","Mammals","United States"
"Alabama canebrake pitcher-plant","Endangered","Flowering Plants","United States"
"Alabama lampmussel","Endangered","Clams","United States"
"Alabama leather flower","Endangered","Flowering Plants","United States"
"Alabama moccasinshell","Threatened","Clams","United States"
"Alabama pearlshell","Endangered","Clams","United States"
"Allen's Cay iguana","Threatened","Reptiles","Bahamas"
"American alligator","Threatened","Reptiles","United States"
"American burying beetle","Threatened","Insects","Canada"
"American burying beetle","Threatened","Insects","United States"
"American crocodile","Threatened","Reptiles","Colombia"
"American crocodile","Threatened","Reptiles","Haiti"
